max_features,n_estimators,voting,accuracy,time
1000,50,soft,0.9853255069370331,0.8468983173370361
1000,100,soft,0.9853255069370331,0.840364933013916
2000,50,soft,0.987726787620064,0.5259044170379639
2000,100,soft,0.987726787620064,0.5607001781463623
