max_features,n_estimators,voting,weights,accuracy,time
1000,50,soft,1,0.9853255069370331,0.8009543418884277
1000,100,soft,1,0.9853255069370331,0.7867774963378906
2000,50,soft,1,0.987726787620064,0.5413789749145508
2000,100,soft,1,0.987726787620064,0.5371050834655762
