max_features,n_estimators,voting,weights,accuracy,time
500,50,soft,"(1, 1, 1)",0.974119530416222,3.702146053314209
500,50,soft,"(2, 1, 1)",0.9754535752401281,3.0179691314697266
500,50,hard,"(1, 1, 1)",0.9727854855923159,3.158958911895752
500,50,hard,"(2, 1, 1)",0.9743863393810032,2.8820743560791016
500,100,soft,"(1, 1, 1)",0.9746531483457844,3.0030412673950195
500,100,soft,"(2, 1, 1)",0.9746531483457844,2.8399465084075928
500,100,hard,"(1, 1, 1)",0.9730522945570971,1.6634831428527832
500,100,hard,"(2, 1, 1)",0.9743863393810032,1.6157422065734863
1000,50,soft,"(1, 1, 1)",0.9866595517609391,1.3341364860534668
1000,50,soft,"(2, 1, 1)",0.9871931696905016,1.2908554077148438
1000,50,hard,"(1, 1, 1)",0.9866595517609391,1.2538177967071533
1000,50,hard,"(2, 1, 1)",0.986392742796158,1.2323002815246582
1000,100,soft,"(1, 1, 1)",0.986392742796158,1.4798929691314697
1000,100,soft,"(2, 1, 1)",0.9869263607257204,1.3616771697998047
1000,100,hard,"(1, 1, 1)",0.9866595517609391,1.4550626277923584
1000,100,hard,"(2, 1, 1)",0.9861259338313767,1.3376901149749756
