max_features,n_estimators,voting,weights,accuracy,time
1000,50,soft,"(1, 1, 1)",0.9858591248665955,3.405801296234131
2000,50,soft,"(1, 1, 1)",0.9882604055496265,2.2988927364349365
5000,50,soft,"(1, 1, 1)",0.9874599786552828,2.6338157653808594
10000,50,soft,"(1, 1, 1)",0.9871931696905016,2.7170865535736084
